TMDB ID,IMDb ID,Data proiezione,Film,Selezionatore,Tema,Anno,Regista/i,Durata,Paese/i di produzione,Link IMDb,Media voti F,Media voti I,Media voti P,Pubblico
472451,tt7008872,23-Dic-2019,A boy erased - Vite cancellate,Adriana,Dissonanze,2018,Joel Edgerton,115,AU; US,https://www.imdb.com/title/tt7008872,,,,
41327,tt0298506,13-Jan-2020,Paz!,Alessandra,Dissonanze,2002,James Moll,90,US,https://www.imdb.com/title/tt0309992,,,,
56482,tt0309992,20-Jan-2020,Bianca,Jolly,Fuori tema,2002,Renato De Maria,102,IT,https://www.imdb.com/title/tt0085240,,,,
485166,tt7491144,27-Jan-2020,Amanda - Quel giorno d'estate,Giulietta,Viaggio,2018,Mikhaël Hers,107,FR,https://www.imdb.com/title/tt7491144,,,,
87827,tt0454876,3-Feb-2020,Vita di Pi,Adriana,Viaggio,2012,Ang Lee,127,CA; TW; GB; US,https://www.imdb.com/title/tt0454876,,,,
329865,tt2543164,10-Feb-2020,Arrival,Caterina,Viaggio,2016,Denis Villeneuve,116,US,https://www.imdb.com/title/tt2543164,,,,
14574,tt0914798,17-Feb-2020,Il bambino con il pigiama a righe,Jolly,Fuori tema,2008,Mark Herman,94,GB; US,https://www.imdb.com/title/tt0914798,,,,
546,tt0407265,2-Mar-2020,Transamerica,John,Donne,2005,Duncan Tucker,103,US,https://www.imdb.com/title/tt0407265,,,,
452008,tt6777056,20-Apr-2020,Tesnota,Jolly,Fuori tema,2017,Kantemir Balagov,118,RU,https://www.imdb.com/title/tt6777056,,,,
337674,tt3716530,27-Apr-2020,Elle,Daniele,Donne,2016,Paul Verhoeven,130,BE; FR; DE,https://www.imdb.com/title/tt3716530,,,,
158693,tt0045098,4-Mag-2020,Roma ore 11,Alessandra,Donne,1952,Giuseppe De Santis,107,IT,https://www.imdb.com/title/tt0045098,,,,
7862,tt0813547,11-Mag-2020,Il falsario - Operazione Bernhard,Jolly,Fuori tema,2007,Stefan Ruzowitzky,98,AT; DE,https://www.imdb.com/title/tt0813547,,,,
11936,tt0080539,18-Mag-2020,La città delle donne,Jolly,Fuori tema,1980,Federico Fellini,149,FR; IT,https://www.imdb.com/title/tt0080539,,,,
597613,tt10011232,1-Giu-2020,Leftover Women,Adriana,Fuori tema,2020,Hilla Medalia; Shosh Shlam,85,IL,https://www.imdb.com/title/tt10011232,,,,
394117,tt5649144,8-Giu-2020,Un sogno chiamato Florida,Jolly,Fuori tema,2017,Sean Baker,115,US,https://www.imdb.com/title/tt5649144,,,,
531428,tt8613070,19-Ott-2020,Ritratto della giovane in fiamme,Jolly,-,2019,Céline Sciamma,122,FR,https://www.imdb.com/title/tt8613070,,,,
423612,tt5311542,2-Nov-2020,Opera senza autore,Caterina,-,2018,Florian Henckel von Donnersmarck,189,DE; IT,https://www.imdb.com/title/tt5311542,,,,
56693,tt0062893,16-Nov-2020,Dillinger è morto,Jolly,-,1969,Marco Ferreri,95,IT,https://www.imdb.com/title/tt0062893,,,,
517814,tt8267604,30-Nov-2020,Cafarnao,Serena,-,2018,Nadine Labaki,126,LB,https://www.imdb.com/title/tt8267604,,,,
389015,tt5580036,14-Dic-2020,Tonya,Giuliano,-,2017,Craig Gillespie,119,US,https://www.imdb.com/title/tt5580036,,,,
123377,tt2299842,28-Dic-2020,Pietà,Daniele,-,2012,Kim Ki-duk,104,KR,https://www.imdb.com/title/tt2299842,,,,
28384,tt0104466,11-Gen-2021,Mariti e mogli,Jolly,-,1992,Woody Allen,108,US,https://www.imdb.com/title/tt0104466,,,,
169607,tt2714900,25-Gen-2021,Alla ricerca di Vivian Maier,Adriana,-,2014,Charlie Siskel; John Maloof,83,US,https://www.imdb.com/title/tt2714900,,,,
401246,tt4995790,8-Feb-2021,The Square,Jolly,-,2017,Ruben Östlund,142,DK; FR; DE; SE,https://www.imdb.com/title/tt4995790,,,,
